航班号,出发时间,到达时间,出发机场,到达机场,航班价格
东方航空MU5186,"21:40
浦东机场T1","00:05
大兴机场
+1天",浦东机场T1,大兴机场,884
吉祥航空HO1251,"10:50
浦东机场T2","13:20
大兴机场",浦东机场T2,大兴机场,910
东方航空MU5165,"21:30
浦东机场T1","23:50
首都机场T2",浦东机场T1,首都机场T2,950
厦门航空MF8556,"20:45
浦东机场T2","22:55
大兴机场",浦东机场T2,大兴机场,1040
海南航空HU7614,"11:05
浦东机场T2","13:40
首都机场T2",浦东机场T2,首都机场T2,1100
海南航空HU7610,"20:15
虹桥机场T2","22:45
首都机场T2",虹桥机场T2,首都机场T2,1160
南方航空CZ8882,"22:15
虹桥机场T2","00:25
大兴机场
+1天",虹桥机场T2,大兴机场,1180
吉祥航空HO1253,"17:00
虹桥机场T2","19:25
大兴机场",虹桥机场T2,大兴机场,1450
东方航空MU5109,"12:00
虹桥机场T2","14:15
首都机场T2",虹桥机场T2,首都机场T2,1454
东方航空MU5161,"15:30
浦东机场T1","18:00
首都机场T2",浦东机场T1,首都机场T2,1454
东方航空MU5195,"17:40
浦东机场T1","20:10
大兴机场",浦东机场T1,大兴机场,1454
东方航空MU6866,"19:20
虹桥机场T2","21:30
大兴机场",虹桥机场T2,大兴机场,1454
中国联合航空KN5956,"20:05
虹桥机场T2","22:15
大兴机场",虹桥机场T2,大兴机场,1500
南方航空CZ8880,"11:25
虹桥机场T2","13:40
大兴机场",虹桥机场T2,大兴机场,1630
海南航空HU7608,"19:00
虹桥机场T2","21:15
首都机场T2",虹桥机场T2,首都机场T2,1630
南方航空CZ8886,"19:45
虹桥机场T2","22:00
大兴机场",虹桥机场T2,大兴机场,1630
东方航空MU5125,"20:00
虹桥机场T2","22:10
首都机场T2",虹桥机场T2,首都机场T2,1673
南方航空CZ8888,"15:30
虹桥机场T2","17:45
大兴机场",虹桥机场T2,大兴机场,1800
中国国际航空CA1884,"16:20
浦东机场T2","19:00
首都机场T3",浦东机场T2,首都机场T3,1800
海南航空HU7604,"11:15
虹桥机场T2","13:25
首都机场T2",虹桥机场T2,首都机场T2,1810
东方航空MU5111,"13:00
虹桥机场T2","15:10
首都机场T2",虹桥机场T2,首都机场T2,1823
中国国际航空CA1558,"15:25
虹桥机场T2","17:55
首都机场T3",虹桥机场T2,首都机场T3,2100
东方航空MU5113,"14:00
虹桥机场T2","16:15
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5159,"14:30
虹桥机场T2","16:45
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5115,"15:00
虹桥机场T2","17:15
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5117,"16:00
虹桥机场T2","18:15
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5119,"17:00
虹桥机场T2","19:15
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5121,"18:00
虹桥机场T2","20:15
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5123,"19:00
虹桥机场T2","21:15
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5163,"19:30
虹桥机场T2","21:50
首都机场T2",虹桥机场T2,首都机场T2,2121
东方航空MU5155,"10:30
浦东机场T1","13:00
首都机场T2",浦东机场T1,首都机场T2,2130
东方航空MU6868,"10:30
虹桥机场T2","12:40
大兴机场",虹桥机场T2,大兴机场,2150
东方航空MU5107,"11:00
虹桥机场T2","13:15
首都机场T2",虹桥机场T2,首都机场T2,2150
中国国际航空CA1508,"11:25
虹桥机场T2","13:40
首都机场T3",虹桥机场T2,首都机场T3,2150
海南航空HU7606,"12:10
虹桥机场T2","14:20
首都机场T2",虹桥机场T2,首都机场T2,2150
中国国际航空CA1502,"12:25
虹桥机场T2","14:45
首都机场T3",虹桥机场T2,首都机场T3,2150
东方航空MU9191,"12:50
虹桥机场T2","15:10
大兴机场",虹桥机场T2,大兴机场,2150
东方航空MU5157,"13:30
虹桥机场T2","15:45
首都机场T2",虹桥机场T2,首都机场T2,2150
中国国际航空CA1532,"13:55
虹桥机场T2","16:20
首都机场T3",虹桥机场T2,首都机场T3,2150
中国国际航空CA1524,"14:45
虹桥机场T2","17:10
首都机场T3",虹桥机场T2,首都机场T3,2150
中国国际航空CA1534,"16:35
虹桥机场T2","19:00
首都机场T3",虹桥机场T2,首都机场T3,2150
中国国际航空CA8685,"17:00
浦东机场T2","19:25
大兴机场",浦东机场T2,大兴机场,2150
中国国际航空CA1522,"18:30
虹桥机场T2","21:00
首都机场T3",虹桥机场T2,首都机场T3,2150
中国国际航空CA1550,"20:25
虹桥机场T2","22:45
首都机场T3",虹桥机场T2,首都机场T3,2150
东方航空MU5127,"21:00
虹桥机场T2","23:15
首都机场T2",虹桥机场T2,首都机场T2,2150
中国国际航空CA1510,"21:30
虹桥机场T2","23:45
首都机场T3",虹桥机场T2,首都机场T3,2150
中国国际航空CA1566,"22:30
虹桥机场T2","00:55
首都机场T3
+1天",虹桥机场T2,首都机场T3,2150
上海航空FM9101,"17:30
虹桥机场T2","19:30
大兴机场",虹桥机场T2,大兴机场,3247
中国国际航空CA1520,"13:30
虹桥机场T2","15:55
首都机场T3",虹桥机场T2,首都机场T3,3850
中国国际航空CA1516,"19:25
虹桥机场T2","21:45
首都机场T3",虹桥机场T2,首都机场T3,6020
