航空公司,航班编号,出发时间,到达时间,出发机场,到达机场,航班价格
南方航空CZ,8882,22:15,00:25,虹桥机场T2,大兴机场,400
吉祥航空HO,1251,10:50,13:20,浦东机场T2,大兴机场,438
吉祥航空HO,1253,17:00,19:25,虹桥机场T2,大兴机场,438
中国联合航空KN,5978,08:10,10:25,浦东机场T1,大兴机场,470
东方航空MU,5129,09:05,11:20,浦东机场T1,大兴机场,472
东方航空MU,9191,12:50,15:10,虹桥机场T2,大兴机场,472
东方航空MU,5113,14:00,16:15,虹桥机场T2,首都机场T2,472
东方航空MU,5115,15:00,17:15,虹桥机场T2,首都机场T2,472
东方航空MU,5161,15:30,18:00,浦东机场T1,首都机场T2,472
东方航空MU,5119,17:00,19:15,虹桥机场T2,首都机场T2,472
东方航空MU,5195,17:40,20:10,浦东机场T1,大兴机场,472
东方航空MU,5121,18:00,20:15,虹桥机场T2,首都机场T2,472
东方航空MU,6866,19:20,21:30,虹桥机场T2,大兴机场,472
东方航空MU,5163,19:30,21:50,虹桥机场T2,首都机场T2,472
东方航空MU,5165,21:30,23:50,浦东机场T1,首都机场T2,472
东方航空MU,5186,21:40,00:05,浦东机场T1,大兴机场,472
中国国际航空CA,1520,13:30,15:55,虹桥机场T2,首都机场T3,480
中国国际航空CA,1532,13:55,16:20,虹桥机场T2,首都机场T3,480
中国国际航空CA,1524,14:45,17:10,虹桥机场T2,首都机场T3,480
中国国际航空CA,8685,17:00,19:25,浦东机场T2,大兴机场,480
中国国际航空CA,1510,21:30,23:45,虹桥机场T2,首都机场T3,480
中国国际航空CA,1566,22:30,00:55,虹桥机场T2,首都机场T3,480
厦门航空MF,8556,20:45,22:55,浦东机场T2,大兴机场,490
上海航空FM,9101,17:30,19:30,虹桥机场T2,大兴机场,498
海南航空HU,7602,08:20,10:40,虹桥机场T2,首都机场T2,550
东方航空MU,5157,13:30,15:45,虹桥机场T2,首都机场T2,566
东方航空MU,5159,14:30,16:45,虹桥机场T2,首都机场T2,566
东方航空MU,5117,16:00,18:15,虹桥机场T2,首都机场T2,566
东方航空MU,5123,19:00,21:15,虹桥机场T2,首都机场T2,566
东方航空MU,5125,20:00,22:10,虹桥机场T2,首都机场T2,566
东方航空MU,5127,21:00,23:15,虹桥机场T2,首都机场T2,566
中国国际航空CA,8679,08:10,10:35,浦东机场T2,大兴机场,580
中国国际航空CA,1558,15:25,17:55,虹桥机场T2,首都机场T3,580
中国国际航空CA,1884,16:20,19:00,浦东机场T2,首都机场T3,580
中国国际航空CA,1534,16:35,19:00,虹桥机场T2,首都机场T3,580
中国国际航空CA,1518,17:30,19:55,虹桥机场T2,首都机场T3,580
中国国际航空CA,1522,18:30,21:00,虹桥机场T2,首都机场T3,580
中国国际航空CA,1836,19:00,21:10,浦东机场T2,首都机场T3,580
中国国际航空CA,1550,20:25,22:45,虹桥机场T2,首都机场T3,580
南方航空CZ,8886,19:45,22:00,虹桥机场T2,大兴机场,600
中国联合航空KN,5956,20:05,22:15,虹桥机场T2,大兴机场,620
海南航空HU,7614,11:05,13:40,浦东机场T2,首都机场T2,650
海南航空HU,7604,11:15,13:25,虹桥机场T2,首都机场T2,690
海南航空HU,7606,12:10,14:20,虹桥机场T2,首都机场T2,690
东方航空MU,6868,10:30,12:40,虹桥机场T2,大兴机场,733
东方航空MU,5109,12:00,14:15,虹桥机场T2,首都机场T2,752
东方航空MU,5111,13:00,15:10,虹桥机场T2,首都机场T2,752
中国国际航空CA,1564,07:55,10:10,虹桥机场T2,首都机场T3,780
中国国际航空CA,1502,12:25,14:45,虹桥机场T2,首都机场T3,780
中国国际航空CA,1516,19:25,21:45,虹桥机场T2,首都机场T3,780
东方航空MU,5099,07:00,09:15,虹桥机场T2,首都机场T2,846
东方航空MU,5155,10:30,13:00,浦东机场T1,首都机场T2,846
东方航空MU,5107,11:00,13:15,虹桥机场T2,首都机场T2,846
南方航空CZ,8890,07:20,09:45,浦东机场T2,大兴机场,870
南方航空CZ,8880,11:25,13:40,虹桥机场T2,大兴机场,870
南方航空CZ,8888,15:30,17:45,虹桥机场T2,大兴机场,870
中国国际航空CA,1508,11:25,13:40,虹桥机场T2,首都机场T3,900
海南航空HU,7608,19:00,21:15,虹桥机场T2,首都机场T2,900
海南航空HU,7610,20:15,22:45,虹桥机场T2,首都机场T2,900
东方航空MU,5101,08:00,10:15,虹桥机场T2,首都机场T2,1093
东方航空MU,5151,08:30,10:45,虹桥机场T2,首都机场T2,1093
中国国际航空CA,1590,08:55,11:10,虹桥机场T2,首都机场T3,1120
东方航空MU,5153,09:30,12:00,虹桥机场T2,首都机场T2,1235
东方航空MU,5103,09:00,11:15,虹桥机场T2,首都机场T2,1454
东方航空MU,5105,10:00,12:15,虹桥机场T2,首都机场T2,1454
