航班号,出发时间,到达时间,出发机场,到达机场,航班价格
吉祥航空HO1251,"10:50
浦东机场T2","13:20
大兴机场",浦东机场T2,大兴机场,438
吉祥航空HO1253,"17:00
虹桥机场T2","19:25
大兴机场",虹桥机场T2,大兴机场,438
东方航空MU5129,"09:05
浦东机场T1","11:20
大兴机场",浦东机场T1,大兴机场,472
东方航空MU9191,"12:50
虹桥机场T2","15:10
大兴机场",虹桥机场T2,大兴机场,472
东方航空MU5115,"15:00
虹桥机场T2","17:15
首都机场T2",虹桥机场T2,首都机场T2,472
东方航空MU5161,"15:30
浦东机场T1","18:00
首都机场T2",浦东机场T1,首都机场T2,472
东方航空MU5119,"17:00
虹桥机场T2","19:15
首都机场T2",虹桥机场T2,首都机场T2,472
东方航空MU5195,"17:40
浦东机场T1","20:10
大兴机场",浦东机场T1,大兴机场,472
东方航空MU5121,"18:00
虹桥机场T2","20:15
首都机场T2",虹桥机场T2,首都机场T2,472
东方航空MU5163,"19:30
虹桥机场T2","21:50
首都机场T2",虹桥机场T2,首都机场T2,472
东方航空MU5165,"21:30
浦东机场T1","23:50
首都机场T2",浦东机场T1,首都机场T2,472
东方航空MU5186,"21:40
浦东机场T1","00:05
大兴机场
+1天",浦东机场T1,大兴机场,472
中国国际航空CA8679,"08:10
浦东机场T2","10:35
大兴机场",浦东机场T2,大兴机场,480
中国国际航空CA1520,"13:30
虹桥机场T2","15:55
首都机场T3",虹桥机场T2,首都机场T3,480
中国国际航空CA1532,"13:55
虹桥机场T2","16:20
首都机场T3",虹桥机场T2,首都机场T3,480
中国国际航空CA1524,"14:45
虹桥机场T2","17:10
首都机场T3",虹桥机场T2,首都机场T3,480
中国国际航空CA8685,"17:00
浦东机场T2","19:25
大兴机场",浦东机场T2,大兴机场,480
中国国际航空CA1518,"17:30
虹桥机场T2","19:55
首都机场T3",虹桥机场T2,首都机场T3,480
中国国际航空CA1510,"21:30
虹桥机场T2","23:45
首都机场T3",虹桥机场T2,首都机场T3,480
中国国际航空CA1566,"22:30
虹桥机场T2","00:55
首都机场T3
+1天",虹桥机场T2,首都机场T3,480
厦门航空MF8556,"20:45
浦东机场T2","22:55
大兴机场",浦东机场T2,大兴机场,490
上海航空FM9101,"17:30
虹桥机场T2","19:30
大兴机场",虹桥机场T2,大兴机场,498
海南航空HU7602,"08:20
虹桥机场T2","10:40
首都机场T2",虹桥机场T2,首都机场T2,510
东方航空MU6868,"10:30
虹桥机场T2","12:40
大兴机场",虹桥机场T2,大兴机场,566
东方航空MU5157,"13:30
虹桥机场T2","15:45
首都机场T2",虹桥机场T2,首都机场T2,566
东方航空MU5113,"14:00
虹桥机场T2","16:15
首都机场T2",虹桥机场T2,首都机场T2,566
东方航空MU5159,"14:30
虹桥机场T2","16:45
首都机场T2",虹桥机场T2,首都机场T2,566
东方航空MU5117,"16:00
虹桥机场T2","18:15
首都机场T2",虹桥机场T2,首都机场T2,566
东方航空MU5123,"19:00
虹桥机场T2","21:15
首都机场T2",虹桥机场T2,首都机场T2,566
东方航空MU6866,"19:20
虹桥机场T2","21:30
大兴机场",虹桥机场T2,大兴机场,566
东方航空MU5125,"20:00
虹桥机场T2","22:10
首都机场T2",虹桥机场T2,首都机场T2,566
东方航空MU5127,"21:00
虹桥机场T2","23:15
首都机场T2",虹桥机场T2,首都机场T2,566
中国国际航空CA1558,"15:25
虹桥机场T2","17:55
首都机场T3",虹桥机场T2,首都机场T3,580
中国国际航空CA1884,"16:20
浦东机场T2","19:00
首都机场T3",浦东机场T2,首都机场T3,580
中国国际航空CA1534,"16:35
虹桥机场T2","19:00
首都机场T3",虹桥机场T2,首都机场T3,580
中国国际航空CA1522,"18:30
虹桥机场T2","21:00
首都机场T3",虹桥机场T2,首都机场T3,580
中国国际航空CA1836,"19:00
浦东机场T2","21:10
首都机场T3",浦东机场T2,首都机场T3,580
中国国际航空CA1550,"20:25
虹桥机场T2","22:45
首都机场T3",虹桥机场T2,首都机场T3,580
南方航空CZ8886,"19:45
虹桥机场T2","22:00
大兴机场",虹桥机场T2,大兴机场,600
中国联合航空KN5978,"08:10
浦东机场T1","10:25
大兴机场",浦东机场T1,大兴机场,620
海南航空HU7606,"12:10
虹桥机场T2","14:20
首都机场T2",虹桥机场T2,首都机场T2,630
中国联合航空KN5956,"20:05
虹桥机场T2","22:15
大兴机场",虹桥机场T2,大兴机场,690
东方航空MU5109,"12:00
虹桥机场T2","14:15
首都机场T2",虹桥机场T2,首都机场T2,752
东方航空MU5111,"13:00
虹桥机场T2","15:10
首都机场T2",虹桥机场T2,首都机场T2,752
